algorithm,num_queries,num_plans_per_query,num_communities,equal_sizes,density_in_min,density_in_max,density_out,cost_domain_bound,savings_domain_bound,problem_index,opt_time,costs,normalised_costs
DA_tl_20_npart_0,250,30,1,true,0.05,1,0.05,20,10,0,37966.56552696228,3867,1.0
DA_incremental,250,30,1,true,0.05,1,0.05,20,10,0,43351.67720985413,5382,1.3917765709852599
DA_parallel,250,30,1,true,0.05,1,0.05,20,10,0,27848.757181167606,9644,2.4939229376777865
SA_it_1000_npart_0,250,30,1,true,0.05,1,0.05,20,10,0,0,n/a,20
SA_incremental,250,30,1,true,0.05,1,0.05,20,10,0,0,n/a,20
HQA_incremental,250,30,1,true,0.05,1,0.05,20,10,0,0,n/a,20
genetic_200,250,30,1,true,0.05,1,0.05,20,10,0,0,n/a,20
genetic_50,250,30,1,true,0.05,1,0.05,20,10,0,0,n/a,20
hill_climbing,250,30,1,true,0.05,1,0.05,20,10,0,0,n/a,20
DA_tl_20_npart_0,250,30,1,true,0.05,1,0.05,20,10,1,38678.62998199463,3851,1.0
DA_incremental,250,30,1,true,0.05,1,0.05,20,10,1,44334.4326953888,4814,1.250064918203064
DA_parallel,250,30,1,true,0.05,1,0.05,20,10,1,28125.020164489746,9363,2.4313165411581408
SA_it_1000_npart_0,250,30,1,true,0.05,1,0.05,20,10,1,0,n/a,20
SA_incremental,250,30,1,true,0.05,1,0.05,20,10,1,0,n/a,20
genetic_200,250,30,1,true,0.05,1,0.05,20,10,1,0,n/a,20
genetic_50,250,30,1,true,0.05,1,0.05,20,10,1,0,n/a,20
hill_climbing,250,30,1,true,0.05,1,0.05,20,10,1,0,n/a,20
DA_tl_20_npart_0,250,30,1,true,0.05,1,0.05,20,10,2,33929.83468055725,3857,1.0
DA_incremental,250,30,1,true,0.05,1,0.05,20,10,2,41086.680488586426,4795,1.2431941923774954
DA_parallel,250,30,1,true,0.05,1,0.05,20,10,2,26332.525053024292,8665,2.2465646875810217
SA_it_1000_npart_0,250,30,1,true,0.05,1,0.05,20,10,2,0,n/a,20
SA_incremental,250,30,1,true,0.05,1,0.05,20,10,2,0,n/a,20
genetic_200,250,30,1,true,0.05,1,0.05,20,10,2,0,n/a,20
genetic_50,250,30,1,true,0.05,1,0.05,20,10,2,0,n/a,20
hill_climbing,250,30,1,true,0.05,1,0.05,20,10,2,0,n/a,20
DA_tl_20_npart_0,250,30,1,false,0.05,1,0.05,20,10,0,37966.56552696228,3867,1.0
DA_incremental,250,30,1,false,0.05,1,0.05,20,10,0,43351.67720985413,5382,1.3917765709852599
DA_parallel,250,30,1,false,0.05,1,0.05,20,10,0,27848.757181167606,9644,2.4939229376777865
SA_it_1000_npart_0,250,30,1,false,0.05,1,0.05,20,10,0,0,n/a,20
SA_incremental,250,30,1,false,0.05,1,0.05,20,10,0,0,n/a,20
HQA_incremental,250,30,1,false,0.05,1,0.05,20,10,0,0,n/a,20
genetic_200,250,30,1,false,0.05,1,0.05,20,10,0,0,n/a,20
genetic_50,250,30,1,false,0.05,1,0.05,20,10,0,0,n/a,20
hill_climbing,250,30,1,false,0.05,1,0.05,20,10,0,0,n/a,20
DA_tl_20_npart_0,250,30,1,false,0.05,1,0.05,20,10,1,38678.62998199463,3851,1.0
DA_incremental,250,30,1,false,0.05,1,0.05,20,10,1,44334.4326953888,4814,1.250064918203064
DA_parallel,250,30,1,false,0.05,1,0.05,20,10,1,28125.020164489746,9363,2.4313165411581408
SA_it_1000_npart_0,250,30,1,false,0.05,1,0.05,20,10,1,0,n/a,20
SA_incremental,250,30,1,false,0.05,1,0.05,20,10,1,0,n/a,20
genetic_200,250,30,1,false,0.05,1,0.05,20,10,1,0,n/a,20
genetic_50,250,30,1,false,0.05,1,0.05,20,10,1,0,n/a,20
hill_climbing,250,30,1,false,0.05,1,0.05,20,10,1,0,n/a,20
DA_tl_20_npart_0,250,30,1,false,0.05,1,0.05,20,10,2,33929.83468055725,3857,1.0
DA_incremental,250,30,1,false,0.05,1,0.05,20,10,2,41086.680488586426,4795,1.2431941923774954
DA_parallel,250,30,1,false,0.05,1,0.05,20,10,2,26332.525053024292,8665,2.2465646875810217
SA_it_1000_npart_0,250,30,1,false,0.05,1,0.05,20,10,2,0,n/a,20
SA_incremental,250,30,1,false,0.05,1,0.05,20,10,2,0,n/a,20
genetic_200,250,30,1,false,0.05,1,0.05,20,10,2,0,n/a,20
genetic_50,250,30,1,false,0.05,1,0.05,20,10,2,0,n/a,20
hill_climbing,250,30,1,false,0.05,1,0.05,20,10,2,0,n/a,20
DA_tl_20_npart_0,250,30,2,true,0.05,1,0.05,20,10,0,31241.22674369812,4396,1.1682168482593676
DA_incremental,250,30,2,true,0.05,1,0.05,20,10,0,42597.29848670959,3763,1.0
DA_parallel,250,30,2,true,0.05,1,0.05,20,10,0,27331.756637573242,4566,1.2133935689609354
SA_it_1000_npart_0,250,30,2,true,0.05,1,0.05,20,10,0,0,n/a,20
SA_incremental,250,30,2,true,0.05,1,0.05,20,10,0,0,n/a,20
HQA_incremental,250,30,2,true,0.05,1,0.05,20,10,0,0,n/a,20
genetic_200,250,30,2,true,0.05,1,0.05,20,10,0,0,n/a,20
genetic_50,250,30,2,true,0.05,1,0.05,20,10,0,0,n/a,20
hill_climbing,250,30,2,true,0.05,1,0.05,20,10,0,0,n/a,20
DA_tl_20_npart_0,250,30,2,true,0.05,1,0.05,20,10,1,28162.774173736572,4649,1.2208508403361344
DA_incremental,250,30,2,true,0.05,1,0.05,20,10,1,39822.12886810302,3808,1.0
DA_parallel,250,30,2,true,0.05,1,0.05,20,10,1,27349.754905700684,5130,1.3471638655462186
SA_it_1000_npart_0,250,30,2,true,0.05,1,0.05,20,10,1,0,n/a,20
SA_incremental,250,30,2,true,0.05,1,0.05,20,10,1,0,n/a,20
genetic_200,250,30,2,true,0.05,1,0.05,20,10,1,0,n/a,20
genetic_50,250,30,2,true,0.05,1,0.05,20,10,1,0,n/a,20
